Removed Pin From Net: NetName=5V Pin=R300-1
Removed Pin From Net: NetName=5V Pin=R400-1
Removed Pin From Net: NetName=RESET Pin=R400-2
Removed Member From Class: ClassName=Power Member=R300
Removed Member From Class: ClassName=ATMEGA328P Member=R400
Change Component Footprint: Designator=C300 Old Footprint=CAPMP7343X430N New Footprint=CAPC1005X55N
Change Component Footprint: Designator=D301 Old Footprint=FP-6_541-5056_01-4-MFG New Footprint=LEDM2012X120N
Change Component Footprint: Designator=D300 Old Footprint=FP-95400-MFG New Footprint=FP-96547-MFG
Change Component Comment : Designator=C301 Old Comment=0.1uF New Comment=4.7uF
Change Component Comment : Designator=C300 Old Comment=47uF New Comment=0.1uF
Change Component Comment : Designator=PB? Old Comment=SMD_157SW New Comment=
Change Component Comment : Designator=D300 Old Comment=SS14-E3/61T New Comment=SS2P4-M3/84A
Change Component Comment : Designator=D301 Old Comment=TLMP1100-GS08 New Comment=KPT-2012SGC
Change Managed Component Library Link : Designator=D300 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7D10CD85-780E-4E27-834C-035862268BCD New ItemGUID=6090458D-E605-4246-AE0D-39D1B919B286 Old RevisionGUID=8B5CAD06-C29B-45AA-8766-FBBD3BC1DB86 New RevisionGUID=B794EBA7-C86E-4A74-929B-2DDEE2753663
Change Managed Component Library Link : Designator=D301 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D6419458-32D2-4DD9-A6ED-612CF4AE2E26 New ItemGUID= Old RevisionGUID=EF1C8B2D-7139-4FE1-8A27-103D6C6C2FFF New RevisionGUID=
Change component parameters: Designator = "C300" ("C300"); Footprint = "CAPMP7343X430N"; UniqueID = "\OLJEHXNC" ("\OLJEHXNC")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "399-14105-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol Ref"; Value = "CAP_NOPOL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "-55C to +125C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Updated By"; Value = "randy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Updated_Date"; Value = "2024-03-31 22:57:36"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage_Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C301" ("C301"); Footprint = "CAPC1005X55N"; UniqueID = "\CGGYCTUK" ("\CGGYCTUK")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier Part Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/products/en?keywords=TAJA475M016RNJ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created By"; Value = "randy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created_Date"; Value = "2024-03-31 23:07:54"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.071in (1.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ID"; Value = "30042"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KYOCERA AVX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Description"; Value = "CAP TANT 4.7uF ±20% 16V 1206 (3216 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TAJA475M016RNJ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package_Case"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Status"; Value = "New"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.126in L x 0.063in W (3.20mm x 1.60mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sorted_Value"; Value = "4.7E-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sub_Type"; Value = "CER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "478-3032-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol Ref"; Value = "CAP_NOPOL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "-55C to +125C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Updated By"; Value = "randy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Updated_Date"; Value = "2024-03-31 23:08:03"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage_Rating"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C302" ("C302"); Footprint = "CAPC1005X55N"; UniqueID = "\DDKDJPPS" ("\DDKDJPPS")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier Part Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/products/en?keywords=C0603C104K5RECAUTO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created By"; Value = "randy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created_Date"; Value = "2024-03-31 22:55:42"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ID"; Value = "30041"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Description"; Value = "CAP CER 0.1uF ±10% 50V X7R 0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K5RECAUTO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package_Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Status"; Value = "New"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063in L x 0.031in W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sorted_Value"; Value = "1E-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sub_Type"; Value = "CER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "399-14105-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol Ref"; Value = "CAP_NOPOL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "-55C to +125C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Updated By"; Value = "randy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Updated_Date"; Value = "2024-03-31 22:57:36"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage_Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "D300" ("D300"); Footprint = "FP-95400-MFG"; UniqueID = "\KQOTSFGL" ("\KQOTSFGL")
Change component parameters (AddParameter): Name = "Average Rectified Current"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "DO-220AA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "550mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.15mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.61mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Forward Surge Current (Ifsm)"; Value = "50A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Repetitive Reverse Voltage (Vrrm)"; Value = "40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Current"; Value = "150uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Voltage (DC)"; Value = "40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Surge Current"; Value = "50A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Non-Repetitive Surge Current"; Value = "50A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "eSMP®"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "2.18mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "D301" ("D301"); Footprint = "FP-6_541-5056_01-4-MFG"; UniqueID = "\HJWBKVDA" ("\HJWBKVDA")
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://componentsearchengine.com/Datasheets/2/KPT-2012SGC.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Farnell Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Farnell Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Geometry.Height"; Value = "1.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Kingbright"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "KPT-2012SGC"; VariantName = "[No Variations]"
Added Component: Designator=R?(BOUR-CAY16-J4_V)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case\Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.bourns.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.bourns.com/pdfs/CATCAY.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Sep-14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.45 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Surface Mount Device, Body 1.6 x 3.2 mm, Pitch 0.8 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "CAY16-J4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100 mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "330 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8 mm"; VariantName = "[No Variations]"
Add Pin To Net: Unknown Pin: Pin PB?-1
Add Pin To Net: Unknown Pin: Pin PB?-2
Added Pin To Net: NetName=5V Pin=R?-3
Added Pin To Net: NetName=5V Pin=R?-4
Added Pin To Net: NetName=RESET Pin=R?-5
Change Net Name : Old Net Name=5V New Net Name=RP2_3
Added Pin To Net: NetName=RP2_1 Pin=R?-1
Added Net: Name=RP2_1
Added Pin To Net: NetName=RP2_2 Pin=R?-2
Added Net: Name=RP2_2
Added Pin To Net: NetName=RP2_6 Pin=D301-2
Added Pin To Net: NetName=RP2_6 Pin=R?-6
Added Net: Name=RP2_6
Added Pin To Net: NetName=RP2_7 Pin=R?-7
Added Net: Name=RP2_7
Added Pin To Net: NetName=RP2_8 Pin=R?-8
Added Net: Name=RP2_8
Added Member To Class: ClassName=ATMEGA328P Member=Component PB?
Added Member To Class: ClassName=ATMEGA328P Member=Component R? CAY16-102J4LF
